pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,discoverymethod,disc_year
HIP 9618 b,HIP 9618,20.772858,0.145,3.82838127,8.3,640.88,5649.0,Transit,2023
Kepler-947 b,Kepler-947,26.9644317,0.1773,2.28,5.82,573.0,5508.0,Transit,2016
HD 20329 b,HD 20329,0.926118,0.018,1.72,7.42,2141.0,5596.0,Transit,2022
Kepler-167 e,Kepler-167,1071.23205,1.883,10.16,321.00669107,134.4,4884.0,Transit,2016
TOI-5205 b,TOI-5205,1.630757,0.0199,11.6,343.0,737.0,3430.0,Transit,2023
HIP 9618 c,HIP 9618,52.56363,0.269,3.42855926,7.0,470.31,5649.0,Transit,2023
TOI-1801 b,TOI-1801,10.64387,0.075,2.079,5.738,493.7,3863.0,Transit,2023
TOI-1823 b,TOI-1823,38.8,0.212,7.5406241,67.4,423.63,4927.0,Transit,2024
TOI-2031 A b,TOI-2031 A,5.71548654,0.066,14.20177855,254.2627256,1358.0,6490.0,Transit,2025
TOI-2134 b,TOI-2134,9.2292005,0.078,2.69,9.13,666.0,4580.0,Transit,2023
TOI-2134 c,TOI-2134,95.5,0.371,7.27,41.89,306.0,4580.0,Transit,2023
TOI-2374 b,TOI-2374,4.3136193,0.04818,7.48759911,61.65871096,926.0,5002.0,Transit,2024
TOI-2431 b,TOI-2431,0.22419578,0.0063,1.534,6.2,2063.0,4109.0,Transit,2026
TOI-3235 b,TOI-3235,2.59261842,0.02709,11.39953337,211.35589065,604.0,3388.8,Transit,2023
TOI-3757 b,TOI-3757,3.438753,0.03845,12.0,85.3,759.0,3913.0,Transit,2022
TOI-3884 b,TOI-3884,4.5445828,0.0361,6.43,32.59,441.0,3180.0,Transit,2022
TOI-3984 A b,TOI-3984 A,4.353326,0.041,7.9,44.0,563.0,3476.0,Transit,2023
TOI-4010 c,TOI-4010,5.414654,0.058,5.93,20.31,907.0,4960.0,Transit,2023
TOI-4010 d,TOI-4010,14.70886,0.113,6.18,38.15,650.0,4960.0,Transit,2023
TOI-4010 b,TOI-4010,1.348335,0.0229,3.02,11.0,1441.0,4960.0,Transit,2023
LP 890-9 b,LP 890-9,2.7299025,0.01875,1.32,13.2,396.0,2850.0,Transit,2022
TOI-4336 A b,TOI-4336 A,16.336351,0.0849,2.137,3.33,309.4,3307.0,Transit,2024
Kepler-167 c,Kepler-167,7.406106,0.0684,1.674,3.44,771.0,4884.0,Transit,2014
TOI-5293 A b,TOI-5293 A,2.930289,0.034,11.9,170.4,675.0,3586.0,Transit,2023
KOI-94 d,KOI-94,22.342989,0.1684,11.27,106.0,806.0,6182.0,Transit,2013
LP 890-9 c,LP 890-9,8.457463,0.03984,1.367,25.3,272.0,2850.0,Transit,2022
HD 3167 e,HD 3167,96.63,0.3885,2.83,8.41,374.8,5261.0,Radial Velocity,2022
TOI-1136 b,TOI-1136,4.1727,0.05106,1.9,3.5,1216.0,5770.0,Transit,2022
TOI-1136 g,TOI-1136,39.545,0.229,2.53,5.6,574.0,5770.0,Transit,2022
TOI-1338 c,TOI-1338 A,215.79,0.794,10.3,75.4,354.89,5723.2,Radial Velocity,2023
WASP-84 c,WASP-84,1.4468849,0.02359,1.95,15.2,1329.0,5280.0,Transit,2023
TOI-6109 c,TOI-6109,8.538878,0.0786,4.8326,20.8,786.0,5660.0,Transit,2025
TOI-6255 b,TOI-6255,0.23818244,,1.079,1.44,1256.46,3421.0,Transit,2024
WASP-193 b,WASP-193,6.2463475,0.0668,14.78464554,35.59678158,1250.0,6080.0,Transit,2023
LP 791-18 d,LP 791-18,2.75485,0.01992,1.032,0.91,395.5,2960.0,Transit,2023
TOI-6324 b,TOI-6324,0.279221,,1.059,1.17,1216.0,3247.0,Transit,2025
HD 207496 b,HD 207496,6.441008,0.0629,2.25,6.1,743.0,4819.0,Transit,2023
TOI-4010 e,TOI-4010,762.0,1.57,13.3,692.0,174.0,4960.0,Radial Velocity,2023
TOI-6109 b,TOI-6109,5.690476,0.0599,4.8704,21.1,700.0,5660.0,Transit,2025
TOI-199 c,TOI-199,273.69,0.807,11.4,88.99195396,255.43,5255.0,Transit Timing Variations,2023
GJ 806 b,GJ 806,0.9263237,0.01406,1.331,1.9,940.0,3600.0,Transit,2023
GJ 806 c,GJ 806,6.64064,0.0523,2.28,5.8,490.0,3600.0,Radial Velocity,2023
HD 110067 b,HD 110067,9.113678,0.0793,2.2,5.69,800.0,5266.0,Transit,2023
HD 110067 c,HD 110067,13.673694,0.1039,2.388,6.3,699.0,5266.0,Transit,2023
HD 110067 d,HD 110067,20.519617,0.1362,2.852,8.52,602.0,5266.0,Transit,2023
HD 110067 e,HD 110067,30.793091,0.1785,1.94,3.9,533.0,5266.0,Transit,2023
HD 110067 f,HD 110067,41.05854,0.2163,2.601,5.04,489.0,5266.0,Transit,2023
HD 110067 g,HD 110067,54.76992,0.2621,2.607,8.4,440.0,5266.0,Transit,2023
